id,title,len,rating,count,album_id,artist_id
1,Somebody To Love,297,100,17,5,7
2,Stairway To Heaven,481,100,93,35,40
3,Strangers in the Night,158,100,42,5,33
4,Summer Nights,216,100,35,12,11
5,Summer Wind,177,100,46,5,33
6,Thats Life,189,100,43,5,33
7,The Battle Of Evermore,351,100,110,35,40
8,"The Blues ""Is""",252,100,45,37,14
9,There it Is,395,100,35,37,14
10,Think,320,100,41,37,14
11,This Town,185,100,44,5,33
12,Tin Man,210,100,50,5,20
13,Track 01,261,100,47,27,45
14,Track 02,165,100,42,27,45
15,Track 03,206,100,41,27,45
16,Messin with the Kid,226,100,23,28,10
17,Track 04,257,100,37,27,45
18,Stormy Monday,464,100,29,28,10
19,Track 05,230,100,42,27,45
20,Waiting on Ice,289,100,37,37,14
21,War Pigs/Luke's Wall,478,100,38,10,34
22,We Are The Champions,181,100,24,5,7
23,We Will Rock You,123,100,33,5,7
24,When Somebody Loves You,117,100,43,5,33
25,When The Levee Breaks,427,100,83,35,40
26,You are the One that I Want,169,100,31,12,11
27,You Done Me Wrong,200,100,35,37,14
28,You Shook Me All Night Long,210,100,92,13,50
29,You're My Best Friend,172,100,31,5,7
30,Zion,273,100,47,39,9
31,Who Made Who,207,100,110,13,50
32,D.T.,173,,90,13,50
33,Sink the Pink,253,,83,13,50
34,Ride On,351,,75,13,50
35,Chase the Ace,181,,93,13,50
36,Wollt Ihr Das Bett In Flammen Sehen,317,,50,16,5
37,Der Meister,250,,46,16,5
38,Weisses Fleisch,215,,52,16,5
39,Seemann,288,,34,16,5
40,Du Riechst So Gut,289,,50,16,5
41,Das Alte Leid,344,,46,16,5
42,Heirate Mich,284,,39,16,5
43,Herzeleid,223,,42,16,5
44,Baba O'Riley,298,,45,4,47
45,Bargain,331,,37,4,47
46,Love Ain't for Keeping,130,,24,4,47
47,My Wife,213,,17,4,47
48,The Song Is Over,375,,14,4,47
49,Getting In Tune,288,,27,4,47
50,Going Mobile,221,100,28,4,47
51,Behind Blue Eyes,221,,43,4,47
52,Won't Get Fooled Again,511,,21,4,47
53,Folsom Prison Blues,170,100,47,2,51
54,I Walk The Line,165,100,33,2,51
55,Get Rhythm,134,100,35,2,51
56,Big River,152,,51,2,51
57,Guess Things Happen That Way,111,,35,2,51
58,Ring Of Fire,157,100,30,2,51
59,Jackson,166,100,35,2,51
60,A Boy Named Sue (live),226,,37,2,51
61,You Raise Me Up,302,,9,24,23
62,"Hold On, I'm Coming",282,100,34,32,10
63,Got my Mojo Working,310,100,52,32,10
64,Sweet Home Chicago,375,100,27,32,10
65,Heavy Love,253,100,28,32,10
66,Cold Cold Feeling,261,100,43,32,10
67,Lonely Avenue,292,100,24,32,10
68,Good Morning Little Schoolgirl,278,100,20,32,10
69,Dust My Broom,299,100,24,32,10
70,Gimme' Some Lovin,227,100,35,32,10
71,Everybody Needs Somebody to Love,195,100,24,32,10
72,Black Magic Woman,442,100,31,32,10
73,Steppin' Rooster,704,100,21,32,10
74,Our Love is Drifting,292,100,15,32,10
75,Doin' 100,343,100,20,32,10
76,Mother Joy,287,,463,6,26
77,Soldier's Lament,347,,371,6,29
78,Dulaman,223,,403,6,49
79,The Arrow,319,,416,6,22
80,Spanish Eyes,259,,375,6,32
81,Banana Bay,198,,403,6,18
82,Aguas De Marco,179,,407,6,6
83,Tamborea,235,,355,6,39
84,Gone,196,,362,6,2
85,The Immigrant,362,,350,6,17
86,Pahrump-Big Water,191,,342,6,46
87,Seeker's Quest,236,,337,6,21
88,Floating To Forever,351,,337,6,28
89,Open Road,318,,10,19,13
90,Ruby,205,,13,30,38
91,The Angry Mob,288,,41,30,38
92,Heat Dies Down,237,,12,30,38
93,Highroyds,199,,10,30,38
94,Love's Not A Competition (But I'm Winning),197,,11,30,38
95,Thank You Very Much,157,,11,30,38
96,I Can Do It Without You,204,,11,30,38
97,My Kind Of Guy,246,,10,30,38
98,Everything Is Average Nowadays,164,,16,30,38
99,Learnt My Lesson Well,325,,9,30,38
100,Try Your Best,222,,8,30,38
101,Retirement,237,,10,30,38
102,The Angry Mob [Live From Berlin],279,,40,30,38
103,I Like To Fight,218,,8,30,38
104,From The Neck Down,147,,15,30,38
105,Bomb Squad (TECH),208,,4,29,4
106,BYURY ME,274,,4,20,4
107,Charlie and the Rising Moon,161,,,41,44
108,clay techno,276,,5,29,4
109,Cloud Nine Times Over,135,,3,41,44
110,Depression in Session,213,,4,3,4
111,Heavy,188,,2,29,4
112,Hi metal man,260,,4,29,4
113,Mistro,178,,5,29,4
114,Pirate spirit,180,,3,29,4
115,Run Away (New),154,,1,29,4
116,Star Gaze (Inspired),181,,,41,44
117,The Dictator (New,143,,5,20,4
118,Town From Town,86,,4,29,4
119,The Wisdom of Crowds: Why the Many Are Smarter than the Few Part 1 of 3,8586,,15,15,37
120,The Wisdom of Crowds: Why the Many Are Smarter than the Few Part 2 of 3,8443,,9,15,37
121,The Wisdom of Crowds: Why the Many Are Smarter than the Few Part 3 of 3,4168,,3,15,37
122,The Wisdom of Crowds: Why the Many Are Smarter Than the Few (Unabridged) Part 1 of 5,7920,,4,40,37
123,The Wisdom of Crowds: Why the Many Are Smarter Than the Few (Unabridged) Part 2 of 5,7921,,,40,37
124,The Wisdom of Crowds: Why the Many Are Smarter Than the Few (Unabridged) Part 3 of 5,7965,,,40,37
125,The Wisdom of Crowds: Why the Many Are Smarter Than the Few (Unabridged) Part 4 of 5,9653,,1,40,37
126,The Wisdom of Crowds: Why the Many Are Smarter Than the Few (Unabridged) Part 5 of 5,746,,,40,37
127,Misty,249,,302,17,3
128,My Funny Valentine,235,,301,17,3
129,Since I Don't Have You,251,,288,17,3
130,Tenderly,227,,284,17,3
131,When I Fall In Love,187,,281,17,3
132,Unforgettable,272,,280,17,3
133,The Way You Look Tonight,247,,277,17,3
134,I've Grown Accustomed To Your Face,148,,280,17,3
135,Smoke Gets In Your Eyes,198,,277,17,3
136,Fly Me To The Moon,182,,275,17,3
137,Unchained Melody,259,,265,17,3
138,These Foolish Things Remind Me Of You,184,,267,17,3
139,La Vie En Rose,276,,259,17,3
140,As Time Goes By,257,,290,17,3
141,Pilot,3847,,1,22,36
142,hte postal service - the impor,193,,,34,30
143,Winter Wonderland,144,,163,25,16
144,Jingle Bells,121,,271,25,33
145,White Christmas,95,,158,25,16
146,The Christmas Song,209,,272,25,33
147,Little Drummer Boy,178,,154,25,16
148,Silent Night,149,,257,25,33
149,Let It Snow,125,,154,25,16
150,Mistletoe And Holly,138,,257,25,33
151,O Holy Night,214,,150,25,16
152,Meaning Of Life,242,,3,38,42
153,Eben Upton: Raspberry Pi,661,,2,36,27
154,Andrew Tanenbaum: Writing the Book on Networks,535,,4,36,27
155,Massimo Banzi: Building Arduino,567,,1,36,27
156,John C. Hollar: History of Computing,694,,1,36,27
157,Bob Metcalfe: Ethernet at Forty,1031,,,36,27
158,Gordon Bell: Building Blocks of Computing,744,,1,36,27
159,Ian Horrocks: Standardizing OWL,572,,1,36,27
160,Katie Hafner: The Origins of the Internet,652,,1,36,27
161,Larry Smarr: Building Mosaic,894,,,36,27
162,Len Kleinrock: The Theory of Packets,674,,1,36,27
163,Mitchell Baker: The Mozilla Foundation,994,,,36,27
164,Pooja Sankar: Building the Piazza Collaboration System,496,,,36,27
165,Van Jacobson: Content-Centric Networking,780,,,36,27
166,The Apache Software Foundation,542,,,36,27
167,A Brief History of Packets,1004,,,36,27
168,Discovering JavaScript Object Notation,650,,,36,27
169,Inventing PHP,494,,,36,27
170,Monash Museum of Computing History,362,,,36,27
171,The Rise of JavaScript,526,,,36,27
172,Joseph Hardin: NCSA Mosaic,845,,,36,27
173,Len Kleinrock on the Internet's First Two Packets,594,,1,36,27
174,Doug Van Houweling on Building the NSFNet,773,,,36,27
175,Computing Conversations: Nathaniel Borenstein on MIME,682,,,36,27
176,You Don't Mess Around With Jim,184,,,18,25
177,Andrew S. Tanenbaum on MINIX,603,,,36,27
178,Computing Conversations: Elizabeth Fong on SQL Standards,533,,,36,27
179,Nii Quaynor on Bringing the Internet to Africa,673,,1,36,27
180,PHP-09-Transactions.mp3,1728,,,31,48
181,PHP-01-Intro.mp3,2250,,,31,48
182,PHP-02-Install.mp3,0,,1,31,48
183,PHP-04-Expressions.mp3,2168,,,31,48
184,PHP-05-Functions.mp3,1446,,,31,48
185,PHP-06-Strings.mp3,417,,,31,48
186,PHP-12-Sessions.mp3,3624,,,31,48
187,PHP-06-Objects.mp3,2455,,,31,48
188,SI664-13-JSON-A.mp3,4407,,,31,48
189,PHP-13-JavaScript.mp3,3650,,,31,48
190,PHP-09-Database-Design.mp3,3591,,,31,48
191,PHP-Tsugi-Install.mp3,3181,,,31,48
192,PHP-10-MySQL-PDO.mp3,4536,,,31,48
193,PHP-08-MySQL.mp3,3994,,,31,48
194,SI664-13-JSON-B.mp3,1484,,,31,48
195,IMS-Learning-Tools-Interoperability.mp3,2185,,,31,48
196,An Interview with Don Waters,1411,,2,33,43
197,Py4Inf-11-Regex.mp3,2123,,,14,35
198,Py4Inf-10-Tuples.mp3,1597,,,14,35
199,Py4Inf-09-Dictionaries.mp3,2254,,,14,35
200,Py4Inf-08-Lists.mp3,1636,,,14,35
201,Py4Inf-07-Files.mp3,1478,,,14,35
202,Py4Inf-06-Strings.mp3,1677,,,14,35
203,Py4Inf-05-Iterations.mp3,2804,,,14,35
204,Py4Inf-04-Functions.mp3,1683,,,14,35
205,Py4Inf-03-Conditional.mp3,2296,,,14,35
206,Py4Inf-02-Expressions.mp3,2578,,,14,35
207,Py4Inf-01-Intro.mp3,3428,,,14,35
208,Ian Foster on the Globus Project,538,,1,36,27
209,Khan Academy and Computer Science,558,,1,36,27
210,Guido van Rossumon the Early Years of Python,701,,1,36,27
211,Guido van Rossum on the Modern Era of Python,741,,,36,27
212,John Resig on Building jQuery,595,,,36,27
213,Roy T. Fielding on Understanding the REST Style,683,,1,36,27
214,Anil Jain: 25 Years of Biometric Recognition,661,,,36,27
215,Waste Management,2565,,1,21,12
216,Sleep Like a Baby Tonight,301,,,23,24
217,Evergreen,261,,,26,19
218,Oh Josephine,398,,,26,19
219,Another One Bites The Dust,217,100,55,5,7
220,Asche Zu Asche,231,100,79,16,5
221,Beauty School Dropout,239,100,48,12,11
222,Black Dog,296,100,109,35,40
223,Bring The Boys Back Home,87,100,33,8,41
224,Circles,355,60,54,37,14
225,Comfortably Numb,384,100,36,8,41
226,Crazy Little Thing Called Love,163,100,38,5,7
227,Electric Funeral,293,100,44,10,34
228,Fat Bottomed Girls,257,100,38,5,7
229,For Those About To Rock (We Salute You),353,100,84,13,50
230,Four Sticks,284,100,84,35,40
231,Furious Angels,330,100,54,39,1
232,Gelle,199,60,45,37,14
233,Going To California,215,100,100,35,40
234,Grease,205,100,42,12,11
235,Hand of Doom,429,100,36,10,34
236,Hells Bells,312,100,82,13,50
237,Hey You,282,100,23,8,41
238,I Worry,341,100,33,37,14
239,Iron Man,358,100,39,10,34
240,Is There Anybody Out There?,160,100,26,8,41
241,It was a Very Good Year,268,100,39,5,33
242,Its Your Move,245,100,40,37,14
243,Jack the Stripper/Fairies Wear Boots,373,100,35,10,34
244,Killer Queen,181,100,34,5,7
245,Laichzeit,262,100,41,16,5
246,Let me Down Easy,331,100,43,37,14
247,Misty Mountain Hop,278,100,88,35,40
248,No Low Down,245,100,39,37,14
249,Now You Are Gone,187,100,52,5,20
250,Outside The Wall,104,100,16,8,41
251,Paranoid,172,100,36,10,34
252,Planet Caravan,274,100,38,10,34
253,Pretty Jeanie,225,100,34,37,14
254,Rammstein,265,100,45,16,5
255,Rat Salad,150,100,46,10,34
256,Rock & Roll,220,100,109,35,40
257,Rode Across the Desert,249,100,60,5,20
258,Sandy,155,100,36,12,11
259,Shake Your Foundations,233,100,85,13,50
260,Sister Golden Hair,202,100,60,5,20
261,Jobs2a,541,,,7,31
262,Have Yourself A Merry Little Christmas,208,,252,25,33
263,Do You Hear What I Hear,164,,155,25,16
264,I'll Be Home For Christmas,190,,249,25,33
265,Voices,191,,,38,42
266,The Game,227,,1,38,42
267,Stupify,274,,1,38,42
268,Down With The Sickness,278,,1,38,42
269,Violence Fetish,203,,,38,42
270,Fear,227,,4,38,42
271,Numb,224,,,38,42
272,Want,232,,,38,42
273,Conflict,275,,5,38,42
274,Shout 2000,257,,1,38,42
275,Droppin' Plates,229,,4,38,42
276,Movin' On Down the Line,342,,,26,19
277,Wounded Bird,263,,,26,19
278,Volcano,194,,,23,24
279,Wee Who See the Deep,290,,,26,19
280,Cedarwood Road,265,,,23,24
281,Locust Street,255,,,26,19
282,Raised By Wolves,245,,,23,24
283,The Troubles,285,,,23,24
284,This Is Where You Can Reach Me Now,305,,,23,24
285,God's Got It,202,,,26,19
286,California (There Is No End to Love),239,,,23,24
287,Every Breaking Wave,252,,,23,24
288,Interview With the Onion News Network,302,,1,1,15
289,Song for Someone,226,,,23,24
290,The Miracle (Of Joey Ramone),255,,,23,24
291,Iris (Hold Me Close),319,,,23,24
292,Goodbye Daughters of the Revolution,304,,,26,19
293,Walk Believer Walk,280,,,26,19
294,Choice Hotels International,2614,,1,9,12
295,Microchip,114,,,11,8
296,Anant Agarwal,494,,,36,27
